instance_id,algorithm,status,wall_time_sec,cpu_time_sec,peak_memory_mb,fvs_size,timestamp
ER_n10_p0.9_seed1,KBST,COMPLETED,0.000826,0.000825,0.000,10,2026-03-24T08:17:55.807513
ER_n10_p0.9_seed1,MEMETIC,COMPLETED,5.257555,5.246967,0.000,7,2026-03-24T08:18:01.066856
BA_n20_m2_seed1,IC,COMPLETED,0.005411,0.005537,0.000,4,2026-03-24T08:18:01.074824
BA_n20_m2_seed1,KBST,COMPLETED,0.020249,0.020078,0.000,3,2026-03-24T08:18:01.096594
BA_n20_m2_seed1,MEMETIC,COMPLETED,12.296954,12.266324,0.004,3,2026-03-24T08:18:13.395501
WS_n20_k4_b01_seed1,IC,COMPLETED,0.001519,0.001612,0.000,20,2026-03-24T08:18:13.399063
WS_n20_k4_b01_seed1,KBST,COMPLETED,0.001288,0.001356,0.000,20,2026-03-24T08:18:13.402640
WS_n20_k4_b01_seed1,MEMETIC,COMPLETED,12.977401,12.917916,0.000,7,2026-03-24T08:18:26.381907
WS_n20_k4_b03_seed1,IC,COMPLETED,0.001307,0.001437,0.000,20,2026-03-24T08:18:26.386522
WS_n20_k4_b03_seed1,KBST,COMPLETED,0.000715,0.000787,0.000,20,2026-03-24T08:18:26.389156
WS_n20_k4_b03_seed1,MEMETIC,COMPLETED,12.970905,12.943234,0.000,6,2026-03-24T08:18:39.361597
WS_n20_k4_b05_seed1,IC,COMPLETED,0.002022,0.002025,0.000,20,2026-03-24T08:18:39.367010
WS_n20_k4_b05_seed1,KBST,COMPLETED,0.001045,0.001190,0.000,20,2026-03-24T08:18:39.370102
WS_n20_k4_b05_seed1,MEMETIC,COMPLETED,12.825066,12.782795,0.000,6,2026-03-24T08:18:52.197261
Tree_binary_n20,IC,COMPLETED,0.040848,0.040712,0.000,0,2026-03-24T08:18:52.240858
Tree_binary_n20,KBST,COMPLETED,0.008864,0.008247,0.000,0,2026-03-24T08:18:52.251904
Tree_binary_n20,MEMETIC,COMPLETED,26.238022,26.119090,0.561,0,2026-03-24T08:19:18.491939
Grid_5x5,IC,COMPLETED,0.277298,0.276187,0.000,11,2026-03-24T08:19:18.772424
Grid_5x5,KBST,COMPLETED,0.013225,0.013376,0.000,7,2026-03-24T08:19:18.787320
Grid_5x5,MEMETIC,COMPLETED,21.094241,21.041922,0.004,6,2026-03-24T08:19:39.883134
BA_n20_m3_seed1,IC,COMPLETED,0.001171,0.001204,0.000,20,2026-03-24T08:19:39.886066
BA_n20_m3_seed1,KBST,COMPLETED,0.000928,0.001017,0.000,20,2026-03-24T08:19:39.888043
BA_n20_m3_seed1,MEMETIC,COMPLETED,13.073655,13.025751,0.000,6,2026-03-24T08:19:52.963100
ER_n20_p0.3_seed1,IC,COMPLETED,0.001363,0.001462,0.000,20,2026-03-24T08:19:52.967039
ER_n20_p0.3_seed1,KBST,COMPLETED,0.000794,0.000900,0.000,20,2026-03-24T08:19:52.969535
ER_n20_p0.3_seed1,MEMETIC,COMPLETED,13.013922,12.848216,0.008,7,2026-03-24T08:20:05.986747
CycleHeavy_n50_density10_nested_cycles,IC,COMPLETED,51.381216,51.208397,2.433,11,2026-03-24T08:20:57.373754
CycleHeavy_n50_density10_nested_cycles,KBST,COMPLETED,0.038277,0.038462,0.000,8,2026-03-24T08:20:57.414358
CycleHeavy_n50_density10_nested_cycles,MEMETIC,COMPLETED,31.340045,31.209516,0.152,8,2026-03-24T08:21:28.758616
WS_n20_k6_b01_seed1,IC,COMPLETED,0.001789,0.001946,0.000,20,2026-03-24T08:21:28.763696
WS_n20_k6_b01_seed1,KBST,COMPLETED,0.001136,0.001140,0.000,20,2026-03-24T08:21:28.766963
WS_n20_k6_b01_seed1,MEMETIC,COMPLETED,13.264465,13.230644,0.000,10,2026-03-24T08:21:42.034032
WS_n20_k6_b03_seed1,IC,COMPLETED,0.001075,0.001040,0.000,20,2026-03-24T08:21:42.036678
WS_n20_k6_b03_seed1,KBST,COMPLETED,0.000519,0.000569,0.000,20,2026-03-24T08:21:42.038345
WS_n20_k6_b03_seed1,MEMETIC,COMPLETED,13.325968,13.243847,0.000,9,2026-03-24T08:21:55.365489
WS_n20_k6_b05_seed1,IC,COMPLETED,0.001083,0.001149,0.000,20,2026-03-24T08:21:55.368027
WS_n20_k6_b05_seed1,KBST,COMPLETED,0.000568,0.000625,0.000,20,2026-03-24T08:21:55.369649
WS_n20_k6_b05_seed1,MEMETIC,COMPLETED,14.236828,14.164069,0.000,9,2026-03-24T08:22:09.607813
CycleHeavy_n50_density25_nested_cycles,IC,COMPLETED,0.042567,0.042662,0.000,15,2026-03-24T08:22:09.653654
CycleHeavy_n50_density25_nested_cycles,KBST,COMPLETED,0.063885,0.062957,0.000,11,2026-03-24T08:22:09.719425
CycleHeavy_n50_density25_nested_cycles,MEMETIC,COMPLETED,30.209936,30.138011,0.090,8,2026-03-24T08:22:39.931576
CycleHeavy_n50_density50_nested_cycles,IC,COMPLETED,0.324340,0.320104,0.000,11,2026-03-24T08:22:40.258612
CycleHeavy_n50_density50_nested_cycles,KBST,COMPLETED,0.065245,0.063525,0.000,12,2026-03-24T08:22:40.330773
CycleHeavy_n50_density50_nested_cycles,MEMETIC,COMPLETED,40.190246,39.668905,0.000,9,2026-03-24T08:23:20.523339
BA_n20_m5_seed1,IC,COMPLETED,0.001351,0.001471,0.000,20,2026-03-24T08:23:20.527382
BA_n20_m5_seed1,KBST,COMPLETED,0.000634,0.000735,0.000,20,2026-03-24T08:23:20.529308
BA_n20_m5_seed1,MEMETIC,COMPLETED,19.507066,19.335656,0.000,9,2026-03-24T08:23:40.040505
CycleHeavy_n50_density75_nested_cycles,IC,COMPLETED,0.001272,0.001356,0.000,32,2026-03-24T08:23:40.043904
CycleHeavy_n50_density75_nested_cycles,KBST,COMPLETED,0.056238,0.054135,0.000,14,2026-03-24T08:23:40.102466
WS_n20_k8_b01_seed1,IC,COMPLETED,0.002914,0.003085,0.037,20,2026-03-24T08:25:23.412683
WS_n20_k8_b01_seed1,KBST,COMPLETED,0.002157,0.002270,0.004,20,2026-03-24T08:25:23.417194
WS_n20_k8_b01_seed1,MEMETIC,COMPLETED,11.361522,11.336591,0.770,12,2026-03-24T08:25:34.781737
WS_n20_k8_b03_seed1,IC,COMPLETED,0.001356,0.001453,0.000,20,2026-03-24T08:25:34.784854
WS_n20_k8_b03_seed1,KBST,COMPLETED,0.000746,0.000807,0.000,20,2026-03-24T08:25:34.790401
WS_n20_k8_b03_seed1,MEMETIC,COMPLETED,10.027910,10.001464,0.479,11,2026-03-24T08:25:44.819594
WS_n20_k8_b05_seed1,IC,COMPLETED,0.001009,0.001077,0.000,20,2026-03-24T08:25:44.822240
WS_n20_k8_b05_seed1,KBST,COMPLETED,0.000623,0.000693,0.000,20,2026-03-24T08:25:44.823829
