source_file,family,track,category,solver,status,fvs_size,timestamp,feature_set
ego_000292.txt,directed,heuristic_track,real_world_ego,pace22_winner,timeout,,2026-04-11T13:54:04.315366,v3
ego_000322.txt,directed,heuristic_track,real_world_ego,pace22_winner,timeout,,2026-04-11T13:54:26.504579,v3
ego_000339.txt,directed,heuristic_track,real_world_ego,pace22_winner,timeout,,2026-04-11T13:54:40.174357,v3
ego_000348.txt,directed,heuristic_track,real_world_ego,pace22_winner,timeout,,2026-04-11T13:54:56.908791,v3
ego_000353.txt,directed,heuristic_track,real_world_ego,pace22_winner,timeout,,2026-04-11T13:55:09.442132,v3
ego_000355.txt,directed,heuristic_track,real_world_ego,pace22_winner,timeout,,2026-04-11T13:55:28.623927,v3
ego_000359.txt,directed,heuristic_track,real_world_ego,pace22_winner,timeout,,2026-04-11T13:55:40.494850,v3
ego_000368.txt,directed,heuristic_track,real_world_ego,pace22_winner,timeout,,2026-04-11T13:55:50.879039,v3
ego_000386.txt,directed,heuristic_track,real_world_ego,pace22_winner,timeout,,2026-04-11T13:56:07.738327,v3
ego_000389.txt,directed,heuristic_track,real_world_ego,pace22_winner,timeout,,2026-04-11T13:56:18.561777,v3
ego_000411.txt,directed,heuristic_track,real_world_ego,pace22_winner,timeout,,2026-04-11T13:56:31.335475,v3
ego_000414.txt,directed,heuristic_track,real_world_ego,pace22_winner,timeout,,2026-04-11T13:56:49.367196,v3
ego_000415.txt,directed,heuristic_track,real_world_ego,pace22_winner,timeout,,2026-04-11T13:57:00.909445,v3
ego_000422.txt,directed,heuristic_track,real_world_ego,pace22_winner,timeout,,2026-04-11T13:57:13.664213,v3
ego_000424.txt,directed,heuristic_track,real_world_ego,pace22_winner,timeout,,2026-04-11T13:57:25.421022,v3
ego_000426.txt,directed,heuristic_track,real_world_ego,pace22_winner,timeout,,2026-04-11T13:57:47.879292,v3
ego_000438.txt,directed,heuristic_track,real_world_ego,pace22_winner,timeout,,2026-04-11T13:58:02.133118,v3
ego_000444.txt,directed,heuristic_track,real_world_ego,pace22_winner,timeout,,2026-04-11T13:58:16.394218,v3
