file,n,m,FVS_size,runtime,validity,kernelization_time,gnn_candidate_time
h_001,1024,2103,52,25.534234,True,0.0,0.0
h_002,1024,3473,39,36.558646,True,0.0,0.0
h_003,1024,3480,40,41.18136,True,0.0,0.0
h_004,1024,3624,63,47.805818,True,0.0,0.0
h_005,843,3995,297,90.003456,True,0.0,0.0
h_006,2048,4096,116,71.696993,True,0.0,0.0
h_007,2048,4096,106,90.002963,True,0.0,0.0
h_008,1024,5222,31,53.245309,True,0.0,0.0
h_009,1024,5231,36,56.224095,True,0.0,0.0
h_010,1024,5471,73,89.604937,True,0.0,0.0
h_011,1024,5480,89,84.713876,True,0.0,0.0
h_012,1024,5487,83,89.795651,True,0.0,0.0
h_013,2048,5216,277,90.037972,True,0.0,0.0
h_014,2048,5219,266,90.037119,True,0.0,0.0
h_015,2048,7005,110,90.038636,True,0.0,0.0
h_016,2048,7307,150,90.037033,True,0.0,0.0
h_017,1024,9737,257,90.059167,True,0.0,0.0
h_018,1974,9003,642,90.030492,True,0.0,0.0
h_019,1024,10284,174,90.0583,True,0.0,0.0
h_020,1024,10743,300,90.057307,True,0.0,0.0
h_021,2048,10573,86,90.036612,True,0.0,0.0
h_022,2048,10584,96,90.046315,True,0.0,0.0
h_023,2048,11098,205,90.042665,True,0.0,0.0
h_024,2650,12400,958,90.033395,True,0.0,0.0
h_025,1024,15102,281,90.058406,True,0.0,0.0
h_026,2048,14725,195,90.039784,True,0.0,0.0
h_027,2048,14738,189,90.04049,True,0.0,0.0
h_028,3588,16698,1281,90.031016,True,0.0,0.0
h_029,1024,19861,365,90.072104,True,0.0,0.0
h_030,2048,18851,303,90.048595,True,0.0,0.0
h_031,2048,18876,333,90.044878,True,0.0,0.0
h_032,2048,20942,314,90.049115,True,0.0,0.0
h_033,6301,20777,286,90.039239,True,0.0,0.0
h_034,4983,22602,1689,90.04471,True,0.0,0.0
h_035,8192,30498,4587,90.040154,True,0.0,0.0
h_036,8192,30671,4557,90.039049,True,0.0,0.0
h_037,8192,30814,4530,90.042925,True,0.0,0.0
h_038,10876,39994,881,90.072489,True,0.0,0.0
h_039,9473,43691,5839,90.089795,True,0.0,0.0
h_040,8192,45091,5163,90.061148,True,0.0,0.0
h_041,8192,45139,5167,90.061624,True,0.0,0.0
h_042,8192,45262,5195,90.048048,True,0.0,0.0
h_043,8192,50901,5234,90.049571,True,0.0,0.0
h_044,8192,51806,5490,90.063027,True,0.0,0.0
h_045,8192,54189,5451,90.085421,True,0.0,0.0
h_046,8192,54350,5343,90.063907,True,0.0,0.0
h_047,8192,54807,5314,90.065203,True,0.0,0.0
h_048,8192,54891,5403,90.068755,True,0.0,0.0
h_049,8192,57468,5467,90.056867,True,0.0,0.0
h_050,22687,54705,1133,90.083923,True,0.0,0.0
h_051,8192,71995,5735,90.100589,True,0.0,0.0
h_052,8192,72700,5779,90.086795,True,0.0,0.0
h_053,8192,73399,5825,90.084594,True,0.0,0.0
h_054,14882,67834,11688,90.146745,True,0.0,0.0
h_055,15268,74339,12751,90.145073,True,0.0,0.0
h_056,8192,82550,5549,90.120984,True,0.0,0.0
h_057,8192,83083,5759,90.08581,True,0.0,0.0
h_058,8192,92304,6745,90.137268,True,0.0,0.0
h_059,7115,103689,625,90.237485,True,0.0,0.0
h_060,8192,110532,5955,90.135279,True,0.0,0.0
h_061,8192,112798,5809,90.129273,True,0.0,0.0
h_062,16384,104900,13834,90.105513,True,0.0,0.0
h_063,36682,88328,4958,90.144717,True,0.0,0.0
h_064,23131,107151,20194,90.247348,True,0.0,0.0
h_065,26475,106762,15157,90.202192,True,0.0,0.0
h_066,16384,119886,14616,90.138869,True,0.0,0.0
h_067,8192,138733,7106,90.17539,True,0.0,0.0
h_068,25678,121390,22886,90.288714,True,0.0,0.0
h_069,8192,156904,7496,90.193706,True,0.0,0.0
h_070,8192,168293,6989,90.39593,True,0.0,0.0
h_071,8192,168714,7550,90.205412,True,0.0,0.0
h_072,32078,149020,28499,90.344585,True,0.0,0.0
h_073,16384,166938,14345,90.192208,True,0.0,0.0
h_074,16384,169955,14721,90.18464,True,0.0,0.0
h_075,34978,169522,32959,90.381303,True,0.0,0.0
h_076,36705,170621,33555,90.45111,True,0.0,0.0
h_077,62586,147892,9500,90.379995,True,0.0,0.0
h_078,8192,204075,7640,90.257625,True,0.0,0.0
h_079,16384,216334,15245,90.249873,True,0.0,0.0
h_080,24818,227991,13118,90.634557,True,0.0,0.0
h_081,32768,224254,31737,90.311216,True,0.0,0.0
h_082,48665,222764,43395,90.555324,True,0.0,0.0
h_083,32768,256256,31501,90.340648,True,0.0,0.0
h_084,16384,273584,15101,90.290954,True,0.0,0.0
h_085,16384,283794,15761,90.380281,True,0.0,0.0
h_086,8192,295951,7798,90.413865,True,0.0,0.0
h_087,58960,269439,53449,90.915671,True,0.0,0.0
h_088,60892,286474,56986,90.8575,True,0.0,0.0
h_089,8192,358201,7930,90.562416,True,0.0,0.0
h_090,16384,353824,15729,90.404692,True,0.0,0.0
h_091,16384,354031,15673,90.484853,True,0.0,0.0
h_092,63674,306833,60445,90.756029,True,0.0,0.0
h_093,32768,363878,31639,90.422531,True,0.0,0.0
h_094,68946,335845,66534,91.045771,True,0.0,0.0
h_095,32768,409363,32190,90.486344,True,0.0,0.0
h_096,34546,421534,25163,91.197608,True,0.0,0.0
h_097,16384,458925,15662,90.697518,True,0.0,0.0
h_098,32768,503494,32065,90.703891,True,0.0,0.0
h_099,97898,447979,89098,91.340031,True,0.0,0.0
