file,n,m,FVS_size,runtime,validity
h_163,32768,2696696,32733,64.53745,True
h_164,131072,2620644,130658,63.794673,True
h_165,131072,2622100,130868,63.454937,True
h_166,65536,2728370,65495,63.809569,True
h_167,65536,2731506,65493,63.648146,True
h_168,32768,2794794,32682,64.970492,True
h_169,32768,2808603,32632,65.657425,True
h_170,32768,2838628,32734,64.830727,True
h_171,131072,2741624,130656,63.047594,True
h_172,32768,2840800,32732,64.778826,True
h_173,32768,2843144,32731,65.141159,True
h_174,131072,2754294,130267,63.117225,True
h_175,131072,2757784,130824,63.877246,True
h_176,131072,2777076,130911,63.956336,True
h_177,131072,2784435,130857,64.189241,True
h_178,131072,2785982,130987,63.463061,True
h_179,131072,2921009,130766,64.316056,True
h_180,131072,2949960,130993,63.933446,True
h_181,131072,2950732,131005,63.138973,True
h_182,131072,2951641,131011,63.854208,True
h_183,131072,3115621,131008,63.927036,True
h_184,32768,3221596,32458,80.708476,True
h_185,32768,3222505,32409,76.671407,True
h_186,566326,2770690,285353,68.651242,False
h_187,131072,3225441,131008,64.228153,True
h_188,262144,3100200,262077,63.254745,True
h_189,262144,3100310,262065,63.160599,True
h_190,131072,3244452,131037,63.635871,True
h_191,131072,3275806,131031,64.255735,True
h_192,32768,3726392,32748,66.764373,True
h_193,32768,3734348,32746,67.787392,True
h_194,4096,4194304,4088,88.611125,True
h_195,4096,4194304,4088,86.713619,True
h_196,8192,4194304,8186,90.769721,True
h_197,8192,4194304,8181,88.755984,True
h_198,962897,4419758,120810,72.184196,False
h_199,875713,5105039,141375,68.797456,False
h_200,2394385,5021410,51234,71.584736,False
