file,n,m,FVS_size,runtime,validity,kernelization_time,gnn_candidate_time,initial_kernel_size,final_kernel_size,n_dynamic_reductions,solution_size,time_seconds
h_001,1024,2103,54,23.01786,True,0.0,0.0,1024,1024,0,54,23.01786
h_002,1024,3473,43,7.72017,True,0.0,0.0,1024,1024,0,43,7.72017
h_003,1024,3480,46,7.59348,True,0.0,0.0,1024,1024,0,46,7.59348
h_004,1024,3624,63,9.52878,True,0.0,0.0,1024,1024,0,63,9.52878
h_005,843,3995,289,36.87596,True,0.0,0.0,843,843,0,289,36.87596
h_006,2048,4096,102,13.97613,True,0.0,0.0,2048,2048,0,102,13.97613
h_007,2048,4096,96,14.02912,True,0.0,0.0,2048,2048,0,96,14.02912
h_008,1024,5222,37,8.07386,True,0.0,0.0,1024,1024,0,37,8.07386
h_009,1024,5231,41,7.75967,True,0.0,0.0,1024,1024,0,41,7.75967
h_010,1024,5471,75,20.56196,True,0.0,0.0,1024,1024,0,75,20.56196
h_011,1024,5480,87,17.41709,True,0.0,0.0,1024,1024,0,87,17.41709
h_012,1024,5487,84,18.24716,True,0.0,0.0,1024,1024,0,84,18.24716
h_013,2048,5216,212,29.71113,True,0.0,0.0,2048,2048,0,212,29.71113
h_014,2048,5219,205,29.17437,True,0.0,0.0,2048,2048,0,205,29.17437
h_015,2048,7005,85,11.1361,True,0.0,0.0,2048,2048,0,85,11.1361
h_016,2048,7307,121,27.43894,True,0.0,0.0,2048,2048,0,121,27.43894
h_017,1024,9737,243,37.34911,True,0.0,0.0,1024,1024,0,243,37.34911
h_018,1974,9003,633,39.34986,True,0.0,0.0,1974,1974,0,633,39.34986
h_019,1024,10284,154,37.20712,True,0.0,0.0,1024,1024,0,154,37.20712
h_020,1024,10743,274,37.69095,True,0.0,0.0,1024,1024,0,274,37.69095
h_021,2048,10573,81,15.91454,True,0.0,0.0,2048,2048,0,81,15.91454
h_022,2048,10584,80,13.20725,True,0.0,0.0,2048,2048,0,80,13.20725
h_023,2048,11098,159,38.05242,True,0.0,0.0,2048,2048,0,159,38.05242
h_024,2650,12400,903,42.09474,True,0.0,0.0,2650,2650,0,903,42.09474
h_025,1024,15102,253,37.89581,True,0.0,0.0,1024,1024,0,253,37.89581
h_026,2048,14725,160,38.00092,True,0.0,0.0,2048,2048,0,160,38.00092
h_027,2048,14738,170,37.87771,True,0.0,0.0,2048,2048,0,170,37.87771
h_028,3588,16698,1201,46.07786,True,0.0,0.0,3588,3588,0,1201,46.07786
h_029,1024,19861,346,38.36011,True,0.0,0.0,1024,1024,0,346,38.36011
h_030,2048,18851,262,39.00399,True,0.0,0.0,2048,2048,0,262,39.00399
h_031,2048,18876,269,39.12424,True,0.0,0.0,2048,2048,0,269,39.12424
h_032,2048,20942,321,39.47412,True,0.0,0.0,2048,2048,0,321,39.47412
h_033,6301,20777,324,38.1778,True,0.0,0.0,6301,6301,0,324,38.1778
h_034,4983,22602,1609,54.64506,True,0.0,0.0,4983,4983,0,1609,54.64506
h_035,8192,30498,4183,38.78658,True,0.0,0.0,8192,8192,0,4183,38.78658
h_036,8192,30671,4130,38.6573,True,0.0,0.0,8192,8192,0,4130,38.6573
h_037,8192,30814,4184,38.78369,True,0.0,0.0,8192,8192,0,4184,38.78369
