file,n,m,FVS_size,runtime,validity,kernelization_time,gnn_candidate_time
h_001,1024,2103,52,7.728487,True,0.019844,0.0
h_002,1024,3473,40,7.364012,True,0.012106,0.0
h_003,1024,3480,39,7.911932,True,0.011907,0.0
h_004,1024,3624,60,17.049032,True,0.016002,0.0
h_005,843,3995,288,90.02211,True,0.017419,0.0
h_006,2048,4096,93,23.938062,True,0.032544,0.0
h_007,2048,4096,94,13.949471,True,0.018491,0.0
h_008,1024,5222,31,12.130333,True,0.01764,0.0
h_009,1024,5231,37,11.142945,True,0.016794,0.0
h_010,1024,5471,73,37.955258,True,0.019515,0.0
h_011,1024,5480,81,47.369749,True,0.019196,0.0
h_012,1024,5487,78,59.630557,True,0.018082,0.0
h_013,2048,5216,212,90.027192,True,0.022767,0.0
h_014,2048,5219,202,90.027575,True,0.023782,0.0
h_015,2048,7005,77,39.225851,True,0.023079,0.0
h_016,2048,7307,112,67.021384,True,0.026136,0.0
h_017,1024,9737,257,90.101482,True,0.034358,0.0
h_018,1974,9003,650,90.073617,True,0.037084,0.0
h_019,1024,10284,178,90.043242,True,0.033694,0.0
h_020,1024,10743,289,90.11594,True,0.052169,0.0
h_021,2048,10573,71,60.625968,True,0.034064,0.0
h_022,2048,10584,61,62.153356,True,0.031823,0.0
h_023,2048,11098,204,90.094464,True,0.039606,0.0
h_024,2650,12400,937,90.090263,True,0.050764,0.0
h_025,1024,15102,276,90.126634,True,0.048976,0.0
h_026,2048,14725,185,90.114885,True,0.050011,0.0
h_027,2048,14738,211,90.105823,True,0.048259,0.0
h_028,3588,16698,1279,90.113936,True,0.071654,0.0
h_029,1024,19861,357,90.136116,True,0.063456,0.0
h_030,2048,18851,280,90.143838,True,0.082337,0.0
h_031,2048,18876,325,90.12652,True,0.066048,0.0
h_032,2048,20942,367,90.155107,True,0.095339,0.0
h_033,6301,20777,261,90.113564,True,0.064764,0.0
h_034,4983,22602,1659,90.17733,True,0.127115,0.0
h_035,8192,30498,4205,90.156629,True,0.117164,0.0
h_036,8192,30671,4211,90.156317,True,0.114909,0.0
h_037,8192,30814,4234,90.176082,True,0.136505,0.0
h_038,10876,39994,808,90.193844,True,0.147744,0.0
h_039,9473,43691,5515,90.315884,True,0.222501,0.0
h_040,8192,45091,4369,90.227401,True,0.168377,0.0
h_041,8192,45139,4458,90.234767,True,0.168135,0.0
h_042,8192,45262,4416,90.226457,True,0.1712,0.0
h_043,8192,50901,4316,90.264432,True,0.197919,0.0
h_044,8192,51806,4440,90.246114,True,0.188067,0.0
h_045,8192,54189,4772,90.321017,True,0.23324,0.0
h_046,8192,54350,4674,90.301825,True,0.225191,0.0
h_047,8192,54807,4678,90.341401,True,0.246199,0.0
h_048,8192,54891,4767,90.327902,True,0.240089,0.0
h_049,8192,57468,4269,90.280214,True,0.219185,0.0
h_050,22687,54705,891,90.221471,True,0.179756,0.0
h_051,8192,71995,5076,90.394189,True,0.278828,0.0
h_052,8192,72700,5139,90.356762,True,0.254005,0.0
h_053,8192,73399,5208,90.362337,True,0.26072,0.0
h_054,14882,67834,11280,90.555755,True,0.377274,0.0
h_055,15268,74339,13027,90.538393,True,0.365805,0.0
h_056,8192,82550,4791,90.368263,True,0.276265,0.0
h_057,8192,83083,4981,90.403011,True,0.285658,0.0
h_058,8192,92304,6549,90.481237,True,0.338438,0.0
h_059,7115,103689,607,90.376196,True,0.238807,0.0
h_060,8192,110532,5284,90.521908,True,0.363087,0.0
h_061,8192,112798,5323,90.550992,True,0.385238,0.0
h_062,16384,104900,12751,90.677973,True,0.509903,0.0
h_063,36682,88328,1448,90.408954,True,0.330512,0.0
h_064,23131,107151,20011,90.907246,True,0.603408,0.0
h_065,26475,106762,3683,0.343538,True,0.227971,0.0
h_066,16384,119886,14256,90.72925,True,0.538652,0.0
h_067,8192,138733,7092,90.696089,True,0.486679,0.0
h_068,25678,121390,22904,91.126421,True,0.724409,0.0
h_069,8192,156904,7488,90.937061,True,0.602852,0.0
h_070,8192,168293,6989,91.354948,True,0.62172,0.0
h_071,8192,168714,7543,90.906705,True,0.625808,0.0
h_072,32078,149020,28843,91.48134,True,0.912927,0.0
h_073,16384,166938,13913,90.93116,True,0.63284,0.0
h_074,16384,169955,14112,90.988184,True,0.693037,0.0
h_075,34978,169522,32488,91.660196,True,1.07671,0.0
h_076,36705,170621,33269,91.709546,True,1.0797,0.0
h_077,62586,147892,3208,90.73665,True,0.630151,0.0
h_078,8192,204075,7643,91.140175,True,0.735491,0.0
h_079,16384,216334,15255,91.38266,True,0.96922,0.0
h_080,24818,227991,2755,0.361223,True,0.359253,0.0
h_081,32768,224254,31233,91.49512,True,1.122653,0.0
h_082,48665,222764,44089,92.388512,True,1.593261,0.0
h_083,32768,256256,30612,91.822316,True,1.353494,0.0
h_084,16384,273584,14593,91.389044,True,0.947611,0.0
h_085,16384,283794,15798,91.707801,True,1.240162,0.0
h_086,8192,295951,7801,91.765837,True,1.108812,0.0
h_087,58960,269439,53274,93.188523,True,2.036514,0.0
h_088,60892,286474,56127,93.527287,True,2.171734,0.0
h_089,8192,358201,7942,91.86678,True,1.028469,0.0
h_090,16384,353824,15627,92.193344,True,1.538778,0.0
h_091,16384,354031,15691,92.157639,True,1.494867,0.0
h_092,63674,306833,60407,93.600697,True,2.232954,0.0
h_093,32768,363878,31498,92.387454,True,1.742601,0.0
h_094,68946,335845,65919,94.031315,True,2.456306,0.0
h_095,32768,409363,32058,92.7658,True,2.072079,0.0
h_096,34546,421534,504,76.814633,True,1.043259,0.0
h_097,16384,458925,15640,92.884241,True,1.919022,0.0
h_098,32768,503494,31963,93.187214,True,2.243876,0.0
h_099,97898,447979,88627,95.588648,True,3.685253,0.0
h_100,75879,508837,12018,91.294806,True,1.198309,0.0
h_101,65536,618237,64680,94.056103,True,3.068086,0.0
h_102,265214,418956,842,1.802724,True,1.801937,0.0
h_103,159316,544621,13303,1.627641,True,1.627608,0.0
h_104,65536,640429,64326,94.398149,True,3.323396,0.0
h_105,65536,652583,65004,94.638604,True,3.453366,0.0
