file,n,m,FVS_size,runtime,validity,kernelization_time,gnn_candidate_time
h_001,1024,2103,52,7.802486,True,0.011075,0.0
h_002,1024,3473,40,7.507564,True,0.011745,0.0
h_003,1024,3480,39,7.915031,True,0.011374,0.0
h_004,1024,3624,60,17.351936,True,0.012832,0.0
h_005,843,3995,297,30.040546,True,0.017312,0.0
h_006,2048,4096,93,24.375013,True,0.036938,0.0
h_007,2048,4096,94,14.398342,True,0.018448,0.0
h_008,1024,5222,31,12.514194,True,0.017067,0.0
h_009,1024,5231,37,11.459542,True,0.016646,0.0
h_010,1024,5471,73,30.024703,True,0.020139,0.0
h_011,1024,5480,86,30.024405,True,0.019408,0.0
h_012,1024,5487,89,30.023525,True,0.018313,0.0
h_013,2048,5216,252,30.056768,True,0.03171,0.0
h_014,2048,5219,246,30.054909,True,0.027411,0.0
h_015,2048,7005,78,30.032537,True,0.027088,0.0
h_016,2048,7307,136,30.061366,True,0.031555,0.0
h_017,1024,9737,257,30.074803,True,0.040488,0.0
h_018,1974,9003,687,30.068135,True,0.043676,0.0
h_019,1024,10284,178,30.082564,True,0.046961,0.0
h_020,1024,10743,289,30.097312,True,0.060652,0.0
h_021,2048,10573,89,30.064098,True,0.033389,0.0
h_022,2048,10584,78,30.063693,True,0.031876,0.0
h_023,2048,11098,214,30.066947,True,0.039835,0.0
h_024,2650,12400,938,30.075685,True,0.049927,0.0
h_025,1024,15102,276,30.089939,True,0.047392,0.0
h_026,2048,14725,185,30.076892,True,0.04944,0.0
h_027,2048,14738,211,30.08112,True,0.048206,0.0
h_028,3588,16698,1315,30.10182,True,0.074293,0.0
h_029,1024,19861,383,30.116355,True,0.064174,0.0
h_030,2048,18851,280,30.124351,True,0.082516,0.0
h_031,2048,18876,352,30.101159,True,0.064117,0.0
h_032,2048,20942,389,30.131773,True,0.096391,0.0
h_033,6301,20777,261,30.089801,True,0.063385,0.0
h_034,4983,22602,2362,30.172434,True,0.128174,0.0
h_035,8192,30498,4292,30.149501,True,0.116985,0.0
h_036,8192,30671,4258,30.147843,True,0.114943,0.0
h_037,8192,30814,4352,30.165678,True,0.134995,0.0
h_038,10876,39994,808,30.181821,True,0.145149,0.0
h_039,9473,43691,7383,30.315995,True,0.229322,0.0
h_040,8192,45091,5285,30.252776,True,0.198581,0.0
h_041,8192,45139,5381,30.252549,True,0.186648,0.0
h_042,8192,45262,5375,30.264482,True,0.203049,0.0
h_043,8192,50901,5163,30.261101,True,0.205315,0.0
h_044,8192,51806,5097,30.220578,True,0.160933,0.0
h_045,8192,54189,5703,30.27654,True,0.2031,0.0
h_046,8192,54350,5578,30.304977,True,0.230362,0.0
h_047,8192,54807,5603,30.304917,True,0.230471,0.0
h_048,8192,54891,5691,30.312692,True,0.237856,0.0
h_049,8192,57468,5224,30.283078,True,0.215315,0.0
h_050,22687,54705,891,30.234083,True,0.196004,0.0
h_051,8192,71995,5975,30.414944,True,0.279136,0.0
h_052,8192,72700,6011,30.472835,True,0.353925,0.0
h_053,8192,73399,6119,30.407273,True,0.303155,0.0
h_054,14882,67834,12540,30.595768,True,0.413379,0.0
h_055,15268,74339,14128,30.594684,True,0.40217,0.0
h_056,8192,82550,5677,30.396427,True,0.295141,0.0
h_057,8192,83083,5840,30.429663,True,0.310886,0.0
h_058,8192,92304,7212,30.539432,True,0.380632,0.0
h_059,7115,103689,620,30.325608,True,0.237956,0.0
h_060,8192,110532,6019,30.533739,True,0.373263,0.0
h_061,8192,112798,6091,30.513691,True,0.371507,0.0
h_062,16384,104900,13732,30.700833,True,0.533213,0.0
h_063,36682,88328,2267,30.400833,True,0.34556,0.0
h_064,23131,107151,20713,30.980858,True,0.627954,0.0
h_065,26475,106762,3683,0.372892,True,0.254386,0.0
h_066,16384,119886,15005,30.785847,True,0.584923,0.0
h_067,8192,138733,7538,30.737765,True,0.510873,0.0
h_068,25678,121390,23508,31.166247,True,0.75464,0.0
h_069,8192,156904,7782,30.925657,True,0.627975,0.0
h_070,8192,168293,7220,31.381335,True,0.621423,0.0
h_071,8192,168714,7867,30.975416,True,0.657997,0.0
h_072,32078,149020,29321,31.563412,True,1.044409,0.0
h_073,16384,166938,14592,30.968885,True,0.67905,0.0
h_074,16384,169955,14776,31.048918,True,0.783543,0.0
h_075,34978,169522,32867,31.845981,True,1.171854,0.0
h_076,36705,170621,33665,31.916686,True,1.182341,0.0
h_077,62586,147892,4987,30.760385,True,0.647875,0.0
h_078,8192,204075,7900,31.195748,True,0.755462,0.0
h_079,16384,216334,15749,31.390732,True,1.008802,0.0
h_080,24818,227991,2755,0.397888,True,0.395827,0.0
h_081,32768,224254,31812,31.629604,True,1.249565,0.0
h_082,48665,222764,44369,32.719865,True,1.628485,0.0
h_083,32768,256256,31162,31.933667,True,1.489332,0.0
h_084,16384,273584,15012,31.446746,True,0.972639,0.0
h_085,16384,283794,16128,31.799525,True,1.281315,0.0
h_086,8192,295951,7978,31.773976,True,1.156846,0.0
h_087,58960,269439,53500,33.34684,True,2.088466,0.0
h_088,60892,286474,56330,33.382257,True,2.242253,0.0
h_089,8192,358201,8067,31.801111,True,1.083276,0.0
h_090,16384,353824,15924,32.360677,True,1.567471,0.0
h_091,16384,354031,15990,32.299339,True,1.559834,0.0
h_092,63674,306833,60592,33.786399,True,2.383071,0.0
h_093,32768,363878,31856,32.619857,True,1.864545,0.0
h_094,68946,335845,66087,34.047465,True,2.632403,0.0
h_095,32768,409363,32371,32.991994,True,2.179805,0.0
h_096,34546,421534,506,31.14889,True,1.109865,0.0
h_097,16384,458925,15870,33.046302,True,2.05511,0.0
h_098,32768,503494,32236,33.411549,True,2.459825,0.0
h_099,97898,447979,88748,35.81494,True,3.774035,0.0
h_100,75879,508837,12762,31.391641,True,1.301487,0.0
h_101,65536,618237,64922,34.321543,True,3.291149,0.0
h_102,265214,418956,842,1.835472,True,1.834135,0.0
h_103,159316,544621,13303,1.680723,True,1.68069,0.0
h_104,65536,640429,64543,34.928146,True,3.483342,0.0
h_105,65536,652583,65215,34.801957,True,3.731291,0.0
h_106,65536,654158,65132,34.567797,True,3.54335,0.0
h_107,32768,699385,32237,34.674791,True,3.294138,0.0
h_108,65536,688044,65393,34.63008,True,3.513519,0.0
h_109,8192,839576,8139,35.173134,True,2.930097,0.0
h_110,32768,826394,32529,35.692362,True,3.858223,0.0
h_111,77360,828161,22678,31.680546,True,1.658026,0.0
h_112,8192,944523,8151,35.941426,True,3.132876,0.0
h_113,194085,854377,18574,2.579366,True,2.540554,0.0
h_114,187341,865700,173254,42.975998,True,8.029449,0.0
h_115,262111,1234877,185101,39.955583,True,8.441949,0.0
h_116,299580,1363755,266417,50.183121,False,13.406413,0.0
h_117,325729,1469679,62124,41.587448,True,10.055983,0.0
h_118,81306,1768135,56172,40.698451,True,6.903226,0.0
h_119,342573,1619304,254947,54.906266,False,16.850323,0.0
h_120,32768,2049515,32029,45.979646,True,9.790147,0.0
h_121,16384,2076651,16358,45.266281,True,8.514898,0.0
h_122,2048,2097152,2044,52.908063,True,7.662412,0.0
h_123,4096,2097152,4083,56.846877,True,9.092658,0.0
h_124,8192,2097152,8170,57.772733,True,9.152126,0.0
h_125,16384,2097152,16232,60.452398,True,10.092668,0.0
h_126,65536,2048311,65482,43.457069,True,9.228602,0.0
h_127,32768,2128971,32715,44.545285,True,9.216925,0.0
h_128,32768,2130600,32725,43.921119,True,9.38248,0.0
h_129,32768,2148521,32221,56.763536,True,9.783448,0.0
h_130,16384,2192284,16365,44.271087,True,7.970404,0.0
h_131,16384,2194576,16367,44.293428,True,7.862893,0.0
h_132,65536,2184865,65496,44.452877,True,9.874428,0.0
h_133,131072,2130456,129677,45.328139,True,11.723908,0.0
h_134,131072,2131741,130081,46.540871,True,12.033138,0.0
h_135,32768,2235835,32286,46.788036,True,10.660978,0.0
h_136,32768,2240608,32427,47.002945,True,10.170272,0.0
h_137,32768,2241646,32293,46.718611,True,10.332481,0.0
h_138,32768,2270902,32732,45.633896,True,10.56982,0.0
h_139,16384,2293868,16368,47.365427,True,10.182124,0.0
h_140,131072,2199584,129205,45.666438,True,11.276049,0.0
h_141,65536,2321780,65502,46.225275,True,11.510784,0.0
h_142,131072,2294338,130641,46.963534,True,12.193185,0.0
h_143,32768,2412833,32740,45.895873,True,9.717441,0.0
h_144,32768,2416672,32741,45.081567,True,9.314461,0.0
h_145,32768,2416820,32743,45.572573,True,9.237195,0.0
h_146,131072,2322563,130437,46.540606,True,11.547344,0.0
h_147,32768,2422154,32404,48.959988,True,11.586891,0.0
h_148,432535,2038645,150374,62.374344,False,21.864071,0.0
h_149,131072,2340382,130406,48.611583,True,13.966455,0.0
h_150,65536,2456589,65496,45.54546,True,10.561093,0.0
h_151,65536,2457973,65499,44.657518,True,9.905201,0.0
h_152,65536,2458355,65508,47.004247,True,11.430315,0.0
h_153,32768,2554765,32749,46.930902,True,10.443916,0.0
h_154,32768,2556720,32751,46.198754,True,9.983436,0.0
h_155,131072,2459701,130829,47.589552,True,13.044658,0.0
h_156,32768,2558829,32744,46.683387,True,10.612101,0.0
h_157,281903,2312497,130442,70.702794,True,38.758859,0.0
h_158,32768,2614043,32636,50.258496,True,12.008029,0.0
h_159,32768,2621362,32585,49.735887,True,12.534738,0.0
h_160,65536,2593066,65512,46.772253,True,11.134863,0.0
h_161,32768,2684883,32290,68.42606,True,13.21794,0.0
h_162,131072,2587747,131045,46.658014,True,11.295373,0.0
h_163,32768,2696696,32753,47.627944,True,10.302247,0.0
h_164,131072,2620644,130696,49.252965,True,13.650816,0.0
h_165,131072,2622100,130919,50.267131,True,14.636949,0.0
h_166,65536,2728370,65517,46.953533,True,11.637446,0.0
h_167,65536,2731506,65516,47.522804,True,10.993432,0.0
h_168,32768,2794794,32694,51.672919,True,13.106906,0.0
h_169,32768,2808603,32646,51.345665,True,13.002783,0.0
h_170,32768,2838628,32753,49.368649,True,11.805437,0.0
h_171,131072,2741624,130280,49.768588,True,13.788778,0.0
h_172,32768,2840800,32754,48.292162,True,11.756997,0.0
h_173,32768,2843144,32754,48.233538,True,11.314479,0.0
h_174,131072,2754294,130230,48.88138,True,13.545815,0.0
h_175,131072,2757784,130875,50.401104,True,14.545885,0.0
h_176,131072,2777076,130818,50.356231,True,14.497279,0.0
h_177,131072,2784435,130872,51.32341,True,16.049823,0.0
h_178,131072,2785982,131009,51.783466,True,16.346496,0.0
h_179,131072,2921009,130722,52.340723,True,15.542995,0.0
h_180,131072,2949960,131048,52.763049,True,16.760929,0.0
h_181,131072,2950732,131028,54.355097,True,17.946708,0.0
h_182,131072,2951641,131033,53.472036,True,17.243945,0.0
h_183,131072,3115621,131030,51.16237,True,14.771343,0.0
h_184,32768,3221596,32463,78.638006,True,16.552928,0.0
h_185,32768,3222505,32414,72.524714,True,15.635344,0.0
h_186,566326,2770690,107816,73.096427,False,29.849196,0.0
h_187,131072,3225441,131029,50.68404,True,14.49195,0.0
h_188,262144,3100200,261998,53.780881,True,19.051257,0.0
h_189,262144,3100310,262068,54.981811,True,19.711237,0.0
h_190,131072,3244452,131056,53.010591,True,15.70807,0.0
h_191,131072,3275806,131053,53.061795,True,16.456518,0.0
h_192,32768,3726392,32761,58.00671,True,15.989136,0.0
h_193,32768,3734348,32759,58.325068,True,17.099433,0.0
h_194,4096,4194304,4091,84.466827,True,15.872144,0.0
h_195,4096,4194304,4090,86.739189,True,16.202219,0.0
h_196,8192,4194304,8190,92.775891,True,18.662866,0.0
h_197,8192,4194304,8185,92.738308,True,18.112791,0.0
h_198,962897,4419758,23138,104.906742,False,54.564411,0.0
h_199,875713,5105039,250441,58.630298,True,24.646464,0.0
h_200,2394385,5021410,18269,21.825304,True,20.89131,0.0
